"TimeStamp","Name","Id","Uuid","ParentName","ParentId","ParentUuid"
"10/6/2014 2:00:14 AM","GVIC Cluster","ClusterComputeResource-domain-c7","","","",""
"10/6/2014 2:00:14 AM","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e","GVIC Cluster","ClusterComputeResource-domain-c7",""
"10/6/2014 2:00:14 AM","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86","GVIC Cluster","ClusterComputeResource-domain-c7",""
"10/6/2014 2:00:14 AM","gvicesxi03.gvic.local","HostSystem-host-87","7d437e38-77d2-11e2-95d8-0090fa0876f8","GVIC Cluster","ClusterComputeResource-domain-c7",""
"10/6/2014 2:00:14 AM","gvicmonpoc01","VirtualMachine-vm-841","4234ee2c-468c-6bdb-6119-c372639f4fa0","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","gvicsglnx01","VirtualMachine-vm-1098","42347009-fc80-74ff-292c-f4763ed0f7ca","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","gviclnxpwrvc01","VirtualMachine-vm-1099","4234eda8-375a-46ef-7d8d-6b2d3297deb1","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","galrhel5_32","VirtualMachine-vm-864","4234b1a7-5400-6cab-2c18-e2e580dcfedb","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","galrhel4_32","VirtualMachine-vm-861","4234c228-c16e-cb22-23fe-3d0de6bab6af","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","galrhel6_64","VirtualMachine-vm-866","42346939-b996-3d56-16cc-b473f60abff1","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvicwfoscim01","VirtualMachine-vm-1094","423411e6-3c8e-abcb-783a-76106eebc8f8","gvicesxi03.gvic.local","HostSystem-host-87","7d437e38-77d2-11e2-95d8-0090fa0876f8"
"10/6/2014 2:00:14 AM","PSPVPN","VirtualMachine-vm-994","42343100-e416-9e32-baf7-a028e4fd9878","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","gvicwtpc02","VirtualMachine-vm-1048","4234dfb4-2e82-5701-3757-284095b5bfd7","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvicjslnx01","VirtualMachine-vm-1066","4234b447-bc68-e746-4eba-4ae55a834350","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvicwsean01","VirtualMachine-vm-1041","42348594-56e3-ac6c-4a38-45f9f6eb41b8","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","gvicakwagent01","VirtualMachine-vm-801","42341ad4-1eae-3784-fbd5-319c58ee744e","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvichsmxiv001","VirtualMachine-vm-1104","4234ae3f-05b9-efe3-f598-4d8c9c713098","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","gvicprddc01","VirtualMachine-vm-1093","4234a52f-aeba-1f8d-ef31-1c72967b92f6","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvicscemgmt01","VirtualMachine-vm-767","4234031a-ed0c-a562-7798-3c184aef61cf","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvicjsnetapp2a","VirtualMachine-vm-1085","42345505-c3a0-cdf2-8bd3-15ec9d78d8e2","gvicesxi02.gvic.local","HostSystem-host-11","582da605-77e7-11e2-9543-0000c9f49a86"
"10/6/2014 2:00:14 AM","galsles10_32","VirtualMachine-vm-1062","42340c89-1acf-02c7-4b44-f86392de8ec1","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","gvicakltpc03","VirtualMachine-vm-1105","423493a8-ce5d-a586-5fc0-70f1cafb0833","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
"10/6/2014 2:00:14 AM","vSphere Replication Appliance","VirtualMachine-vm-989","423442a7-39e1-0d53-7641-ddcfba5fc777","gvicesxi01.gvic.local","HostSystem-host-10","55b20f2e-77be-11e2-98d9-0000c9f4c41e"
