Last Reported,Status,Type,ID,Dups,Name,vCenter,Datacenter,Cluster,Host,Tag Count,Server Type,Server Status,Server Environment,OS Type,Engagement Manager,Data Center,Clients - A to I,Client Size Class,Application Stack,Application Environment,QAD Support Environmets,Clients - J to Q,Clients - R to Z,DMZ Server,Zerto Protection,Zerto Destination,Clustered Servers
2018/01/10 21:30,1,Native OS,311386.0,No,qvarjcbldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Jose Roso,Arapahoe - ViaWest,-,Class A,MFG,Client,-,-,Smiths Brasil Ltda - 00049124,-,-,-,-
2018/01/10 21:30,1,Native OS,311234.0,No,qvarsmtldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Shine Medical Technologies - 00065026,-,-,-,-
2018/01/10 21:30,1,Native OS,311098.0,No,qvarsieldb01,-,-,-,-,10,VMware Virtual Server,Active,Production,Linux,Marcela Arguello,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,SIEM Supranite - 00063476,-,-,-,-
2018/01/10 21:22,1,Native OS,311053.0,No,QVARSBFNTS01,-,-,-,-,12,VMware Virtual Server,Active,Production||Development||Test,Windows,Rick Johnson,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,"Sinbad Foods, LLC - 00065024",-,-,-,-
2018/01/10 21:30,1,Native OS,310958.0,No,qvarsmtldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Shine Medical Technologies - 00065026,-,-,-,-
2018/01/10 21:30,1,Native OS,310822.0,No,qvarsieldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Marcela Arguello,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,SIEM Supranite - 00063476,-,-,-,-
2018/01/10 21:30,1,Native OS,310690.0,No,qvarsieldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Marcela Arguello,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,SIEM Supranite - 00063476,-,-,-,-
2018/01/10 21:30,1,Native OS,310556.0,No,qvarsmtldb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Shine Medical Technologies - 00065026,-,Yes,Delong,-
2018/01/10 21:15,1,Native OS,310504.0,No,QVARSIENTS01,-,-,-,-,10,VMware Virtual Server,Active,Production,Windows,Marcela Arguello,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,SIEM Supranite - 00063476,-,-,-,-
2018/01/10 21:33,1,Native OS,310496.0,No,QVARSIENTS02,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Marcela Arguello,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,SIEM Supranite - 00063476,-,-,-,-
2018/01/10 21:27,1,Native OS,310477.0,No,QVARSMTNTS02,-,-,-,-,10,VMware Virtual Server,Active,Unknown,Windows,Max Biddle,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Shine Medical Technologies - 00065026,-,-,-,-
2018/01/10 21:17,1,Native OS,310471.0,No,QVARSMTNTS01,-,-,-,-,12,VMware Virtual Server,Active,Production||Development||Test,Windows,Max Biddle,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Shine Medical Technologies - 00065026,-,-,-,-
2018/01/10 21:30,1,Native OS,310374.0,No,qvarshaldb06,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Bhadresh Patel,Arapahoe - ViaWest,-,Class A,MFG,Client,-,-,Sharp Corporation - 00063199,-,-,-,-
2018/01/10 21:36,1,Native OS,310312.0,No,QVARSHANTS01,-,-,-,-,10,VMware Virtual Server,Active,Production,Windows,Bhadresh Patel,Arapahoe - ViaWest,-,Class A,QRF,Client,-,-,Sharp Corporation - 00063199,-,-,-,-
2017/10/11 14:25,2,Native OS,310305.0,No,QSHANBI2,-,-,-,-,10,VMware Virtual Server,Retired,Test,Windows,Bhadresh Patel,Arapahoe - ViaWest,-,Class A,BI,Client,-,-,Sharp Corporation - 00063199,-,-,-,-
2018/01/10 21:30,1,Native OS,310299.0,No,QVARSHANTS03,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Bhadresh Patel,Arapahoe - ViaWest,-,Class A,QRF,Client,-,-,Sharp Corporation - 00063199,-,-,-,-
2018/01/10 21:30,1,Native OS,310146.0,No,qvarseqldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Denise Myers,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Sequent Medical Inc. - 00061961,-,-,-,-
2018/01/10 21:30,1,Native OS,310013.0,No,qvarseqldb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Denise Myers,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Sequent Medical Inc. - 00061961,-,Yes,Delong,-
2018/01/10 21:30,1,Native OS,309879.0,No,qvarseqldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Denise Myers,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Sequent Medical Inc. - 00061961,-,-,-,-
2018/01/10 21:32,1,Native OS,309832.0,No,QVARSEQNTS02,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Denise Myers,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Sequent Medical Inc. - 00061961,-,-,-,-
