DATE_TIME,STGPOOL_NAME,NODE_NAME,FILESPACE_NAME,FILESPACE_ID,TYPE,PROTECTED_MB,PHYSICAL_MB,TOTAL_SAVED_MB,TOTAL_SAVED_PCT,DEDUP_SAVED_SIZE,DEDUP_PCT,NON_DEDUP_COUNT,NON_DEDUP_SIZE,UNIQUE_COUNT,UNIQUE_SIZE,SHARED_COUNT,SHARED_LOGSIZE,SHARED_PHYSIZE,COMP_SAVED_SIZE,COMP_SAVED_PCT,COMP_COUNT,UNCOMP_COUNT,ENCRYPT_SIZE,ENCRYPT_PCT,ENCRYPT_COUNT,UNENCRYPT_COUNT,REPORT_ID,DESC
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV011,28,Bkup,124033,7060,116973,94.31,110774884032,85.17,3088,1315452,189180,6499409363,1919301,112193938994,902124814,11880328285,61.61,2078732,32837,0,0.00,0,2111569,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV011,28,Bkup,122639,6454,116186,94.74,109708280232,85.31,5155,2195706,190029,5883293275,1925888,111166611900,881523443,12121373300,64.17,2088422,32650,0,0.00,0,2121072,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV011,28,Bkup,121264,6192,115071,94.89,109474268159,86.10,4763,2028750,176457,5626339211,1922137,110862602929,864754717,11186622629,63.27,2071107,32250,0,0.00,0,2103357,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV011,28,Bkup,112703,4361,108342,96.13,108679532079,91.96,1763,751002,78102,3720304490,1908966,109913591798,851687794,4925443943,51.86,1959642,29189,0,0.00,0,1988831,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV009,29,Bkup,123948,7738,116209,93.76,108001122967,83.10,2919,1243458,226021,7279187699,1846909,109364079011,833960373,13852953279,63.06,2042620,33229,0,0.00,0,2075849,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV009,29,Bkup,123948,7738,116209,93.76,108001203901,83.10,2919,1243458,226021,7279187699,1846909,109364079011,833885987,13852946731,63.06,2042620,33229,0,0.00,0,2075849,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV009,29,Bkup,123948,7738,116209,93.76,108001162690,83.10,2919,1243458,226021,7279187699,1846909,109364079011,833946156,13852927773,63.06,2042620,33229,0,0.00,0,2075849,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV009,29,Bkup,121431,7213,114218,94.06,106181975133,83.39,5403,2301354,221775,6731481355,1848990,107630886154,829667632,13584474330,64.24,2043819,32349,0,0.00,0,2076168,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV009,29,Bkup,120151,6922,113229,94.24,105853997647,84.02,5014,2135676,210832,6445730014,1845508,107251838395,810214122,12875279931,63.95,2029422,31932,0,0.00,0,2061354,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV009,29,Bkup,112703,4867,107836,95.68,105029346811,88.87,1763,751002,127661,4326258060,1829137,106217968238,776110422,8045253008,61.19,1929950,28611,0,0.00,0,1958561,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV006,30,Bkup,122786,6999,115787,94.30,110527863685,85.85,3162,1346976,174193,6537839436,1921871,111923301247,799773550,10883105728,59.72,2066744,32482,0,0.00,0,2099226,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV006,30,Bkup,122786,6999,115786,94.30,110527597985,85.85,3162,1346976,174193,6537839436,1921871,111923301247,800029161,10883115817,59.72,2066744,32482,0,0.00,0,2099226,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV006,30,Bkup,122786,6999,115786,94.30,110527412160,85.85,3162,1346976,174193,6537839436,1921871,111923301247,800219921,10883110882,59.72,2066744,32482,0,0.00,0,2099226,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV006,30,Bkup,123232,6762,116470,94.51,109982984573,85.11,5192,2211468,192419,6258092199,1924608,111499482097,830281015,12144874007,63.14,2088094,34125,0,0.00,0,2122219,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV006,30,Bkup,121718,6427,115291,94.72,109714840746,85.96,4783,2037270,177304,5922954710,1921707,111193953830,814205202,11176164031,62.38,2070099,33695,0,0.00,0,2103794,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWAFXDV006,30,Bkup,112703,4311,108392,96.18,108868604681,92.12,1763,751002,74373,3733538761,1906469,110146937403,785702198,4789122667,51.45,1952017,30588,0,0.00,0,1982605,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV011,31,Bkup,240364,46738,193626,80.56,120399221424,47.77,8042,3425856,944113,41570542462,1067005,132354887296,7434462206,82631981746,62.77,1904009,115151,0,0.00,0,2019160,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV011,31,Bkup,240364,46738,193625,80.56,120398844172,47.77,8042,3425856,944113,41570542462,1067005,132354887296,7434823935,82631997269,62.77,1904009,115151,0,0.00,0,2019160,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV011,31,Bkup,240364,46738,193625,80.56,120398738032,47.77,8042,3425856,944113,41570542462,1067005,132354887296,7434896171,82632031173,62.77,1904009,115151,0,0.00,0,2019160,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV011,31,Bkup,231024,44717,186306,80.64,118162325308,48.78,7901,3365682,866539,39705174950,1047289,129471353476,7180922564,77193940648,62.21,1807530,114199,0,0.00,0,1921729,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV011,31,Bkup,228994,44265,184728,80.67,117835789357,49.07,5225,2225778,845037,39247454962,1041025,129079369317,7165806779,75865917623,62.04,1779782,111505,0,0.00,0,1891287,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV011,31,Bkup,128,36,92,71.67,65392940,48.72,1,426,376,34949430,301,69564429,3077363,30797995,44.75,551,127,0,0.00,0,678,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV006,32,Bkup,244547,27523,217024,88.75,154567956468,60.28,6693,2851182,672357,24763256254,1837780,162266163918,4093474132,72998566220,71.67,2421842,94988,0,0.00,0,2516830,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV006,32,Bkup,244547,27522,217025,88.75,154568182452,60.28,6693,2851182,672357,24763256254,1837780,162266163918,4093263833,72998550535,71.67,2421842,94988,0,0.00,0,2516830,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV006,32,Bkup,244547,27523,217024,88.75,154567856170,60.28,6693,2851182,672357,24763256254,1837780,162266163918,4093546666,72998593984,71.67,2421842,94988,0,0.00,0,2516830,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV006,32,Bkup,228936,23847,205089,89.58,150152914631,62.55,7332,3123288,550450,21121628933,1810247,157274422415,3881109202,64898022779,72.19,2276705,91324,0,0.00,0,2368029,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV006,32,Bkup,226820,23371,203449,89.70,149901256882,63.03,4790,2040468,527332,20626478398,1805922,156990982055,3877482035,63430355283,72.13,2249303,88741,0,0.00,0,2338044,165,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV009,33,Bkup,240665,29097,211569,87.91,164951114108,65.36,6370,2713584,782341,27559354989,2260869,170473179075,2947855385,56894946807,65.09,2968644,80936,0,0.00,0,3049580,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV009,33,Bkup,240665,29097,211569,87.91,164950754898,65.36,6370,2713584,782341,27559354989,2260869,170473179075,2948203697,56894957705,65.09,2968644,80936,0,0.00,0,3049580,169,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV009,33,Bkup,228407,26232,202175,88.52,161576429218,67.46,6497,2767578,687778,24689933980,2240642,166782467999,2813713841,50419451288,64.70,2857509,77408,0,0.00,0,2934917,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV009,33,Bkup,226504,25844,200660,88.59,161387961146,67.95,4491,1913094,666837,24301363791,2235837,166487730697,2796082445,49019271678,64.40,2831773,75392,0,0.00,0,2907165,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV009,33,Bkup,148,43,105,71.04,52380483,33.75,3,1278,1481,44414726,286,53112313,525369,57868670,56.29,1611,159,0,0.00,0,1770,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV501,34,Bkup,240,53,187,77.75,108772787,43.22,2,852,875,50838567,788,118575259,5160483,86886403,60.81,1575,90,0,0.00,0,1665,171,""
