Name,Logical CPUs,Virtual CPUs,Processor Speed,Real Memory Bytes,Deployment,Processor,Vendor,Model,Serial #,OS Level,Kernel,Galileo Agent,Avg CPU (24 hours),Peak CPU (24 hours),Avg LCPU (24 hours),Peak LCPU (24 hours),Avg VCPU (24 hours),Peak VCPU (24 hours),Avg Memory (24 hours) Bytes,Peak Memory (24 hours) Bytes,Avg Memory % (24 hours),Peak Memory % (24 hours),Avg Network Throughput (24 hours) B/s,Peak Network Throughput (24 hours) B/s,Avg Disk Throughput (24 hours) B/s,Peak Disk Throughput (24 hours) B/s,Avg Disk Transfers (24 hours) /s,Peak Disk Transfers (24 hours) /s,Avg CPU (7 days),Peak CPU (7 days),Avg LCPU (7 days),Peak LCPU (7 days),Avg VCPU (7 days),Peak VCPU (7 days),Avg Memory (7 days) Bytes,Peak Memory (7 days) Bytes,Avg Memory % (7 days),Peak Memory % (7 days),Avg Network Throughput (7 days) B/s,Peak Network Throughput (7 days) B/s,Avg Disk Throughput (7 days) B/s,Peak Disk Throughput (7 days) B/s,Avg Disk Transfers (7 days) /s,Peak Disk Transfers (7 days) /s,Avg CPU (30 days),Peak CPU (30 days),Avg LCPU (30 days),Peak LCPU (30 days),Avg VCPU (30 days),Peak VCPU (30 days),Avg Memory (30 days) Bytes,Peak Memory (30 days) Bytes,Avg Memory % (30 days),Peak Memory % (30 days),Avg Network Throughput (30 days) B/s,Peak Network Throughput (30 days) B/s,Avg Disk Throughput (30 days) B/s,Peak Disk Throughput (30 days) B/s,Avg Disk Transfers (30 days) /s,Peak Disk Transfers (30 days) /s,SMT,# of Processors,System Firmware,Current Processor Firmware,Total Page Space Bytes,Used Page Space Bytes,Fibre Channel Adapters,Used Fibre Adapters,Ethernet Adapters,Ethernet Adapter Speed,Used Ethernet Adapters,LPAR Type,LPAR Mode,LPAR Vps,LPAR Weight,LPAR Entitled
usmlrs1107,8.0,8.0,2.4 GHz,16696265932.8,Virtual (VM),Intel(R) Xeon(R) CPU E5-2695 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.7 (Tikanga),2.6.18-274.el5,3.1-2,0.517439024,1.2225,0.517439024,1.2225,-,-,2094983530.2179964,2102331965.44,12.5476171655052,12.5916296,406.103414784,778.24,67444.778815488,121106.432,8.21338676,10.548,0.51301737,3.4525,0.51301737,3.4525,-,-,2085442793.786835,2102331965.44,12.4904742304715,12.5916296,406.378084352,1146.88,67462.20955648,152193.024,8.20475335,11.034,0.513560093,5.3075,0.513560093,5.3075,-,-,2040668703.5031552,2102331965.44,12.2223059438477,12.5916296,372.648167424,1146.88,67599.999599616,294658.048,8.212023111,42.546,false,8.0,-,-,8589829734.4,0.0,2,-,-,-,-,-,-,-,-,-
usmlrs1106,8.0,8.0,2.4 GHz,16696161075.2,Virtual (VM),Intel(R) Xeon(R) CPU E5-2695 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.11 (Tikanga),2.6.18-419.el5,3.1-2,0.490186833,1.7425,0.490186833,1.7425,-,-,2038349350.5553532,2044555427.84,12.208491169395,12.2456619,369.22306048,757.76,67479.763359744,133302.272,8.147103203,10.434,0.504672723,4.5475,0.504672723,4.5475,-,-,2030234259.7231247,2044555427.84,12.1598866394226,12.2456619,370.505525248,1126.4,68442.231271424,143521.792,8.201614734,10.666,0.524734789,7.39,0.524734789,7.39,-,-,1948762191.2283053,2044555427.84,11.671917769188,12.2456619,333.279992832,1126.4,68533.770241024,846682.112,8.228327888,48.622,false,8.0,-,-,8589829734.4,0.0,2,-,-,-,-,-,-,-,-,-
usmlrs1104,8.0,8.0,2.4 GHz,16696161075.2,Virtual (VM),Intel(R) Xeon(R) CPU E5-2695 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.11 (Tikanga),2.6.18-419.el5,3.1-2,0.612752613,1.5875,0.612752613,1.5875,-,-,2848739563.7702165,2856866283.52,17.0622429317073,17.1109171,504.578675712,942.08,86137.267289088,162347.008,9.77610453,11.906,0.638590571,8.015,0.638590571,8.015,-,-,2833377077.9037533,4849768857.6,16.9702308505707,29.0472093,2230.348228608,379207.68,87302.896118784,398159.872,9.8533866,26.722,0.610144041,9.14,0.610144041,9.14,-,-,2677368771.66284,4849768857.6,16.0358345827874,29.0472093,2197.260731392,452014.08,87378.059433984,685326.336,9.8861483,46.368,false,8.0,-,-,8589829734.4,0.0,2,-,-,-,-,-,-,-,-,-
usmlrs1226,4.0,4.0,3.2 GHz,12460018892.8,Virtual (VM),Intel(R) Xeon(R) CPU E7-8891 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.7 (Tikanga),2.6.18-274.17.1.el5,3.1-2,0.347580071,2.165,0.347580071,2.165,-,-,10946865064.249918,10956360908.8,87.8559266914591,87.9321372,6123.811530752,618946.56,66796.16136704,162990.08,11.085935943,22.744,0.387140368,20.51,0.387140368,20.51,-,-,11249353158.7391,12386597601.28,90.2835963205077,99.4107449,41130.282687488,49571799.04,86753.27082496,20825223.168,11.523280239,449.372,0.390147834,25.2,0.390147834,25.2,-,-,11410199941.563286,12392742256.64,91.5744995230163,99.4600599,38336.102503424,49571799.04,86090.396096512,24371099.648,11.674996699,593.932,false,4.0,-,-,6241124352.0,104857.6,-,-,-,-,-,-,-,-,-,-
usmlrs1225,4.0,4.0,3.2 GHz,12460018892.8,Virtual (VM),Intel(R) Xeon(R) CPU E7-8891 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.7 (Tikanga),2.6.18-274.17.1.el5,3.1-2,0.281174377,0.85,0.281174377,0.85,-,-,2033091320.3109233,2039291576.32,16.3169200448399,16.3666813,4095.489821696,4444.16,67432.127316992,112142.336,11.517679715,15.504,0.309365356,12.56,0.309365356,12.56,-,-,2027271753.2852387,3376477634.56,16.2702141207566,27.0984953,4693.936485376,441282.56,67864.346632192,311279.616,11.539543056,28.084,0.305292627,12.56,0.305292627,12.56,-,-,1990065490.9579592,3376477634.56,15.9716089365111,27.0984953,4462.830732288,441282.56,68176.0862976,311279.616,11.572808776,28.084,false,4.0,-,-,6241124352.0,0.0,-,-,-,-,-,-,-,-,-,-
usmlrs1218,5.0,5.0,3.2 GHz,26202551091.2,Virtual (VM),Intel(R) Xeon(R) CPU E7-8891 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.7 (Tikanga),2.6.18-274.12.1.el5,3.1-2,1.878076655,5.332,1.878076655,5.332,-,-,25852186556.065907,26030920171.52,98.6628609801394,99.3449839,90413.063136256,657510.4,135227.463358464,457738.24,22.89030662,31.82,2.263354582,14.644,2.263354582,14.644,-,-,22104493887.439503,26063321169.92,84.3600831484562,99.4686398,83278.39107584,1451499.52,136076.464446464,879970.304,22.724342629,68.194,2.325069979,50.355,2.325069979,50.355,-,-,23385134016.01432,26069235138.56,89.2475466779168,99.49121,91041.44896512,12741657.6,142087.257674752,2759002.112,23.319637431,160.808,false,5.0,-,-,12683575296.0,0.0,-,-,-,-,-,-,-,-,-,-
usmlrs1217,4.0,4.0,3.2 GHz,17730266726.4,Virtual (VM),Intel(R) Xeon(R) CPU E7-8891 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.7 (Tikanga),2.6.18-274.17.1.el5,3.1-2,1.080516014,4.035,1.080516014,4.035,-,-,6931277297.787863,7274852515.84,39.0929104729537,41.0306998,81094.604982272,202260.48,118098.81645568,273577.984,20.343871886,25.964,1.783626374,9.905,1.783626374,9.905,-,-,12072128653.252625,17516420136.96,68.0876877906593,98.7938896,79510.664055808,1142906.88,119186.673422336,878442.496,20.387891109,65.256,1.861883695,31.965,1.861883695,31.965,-,-,13522781926.315786,17516420136.96,76.269478259993,98.7938896,87470.303968256,14619668.48,120492.333545472,878442.496,20.628317683,65.256,false,4.0,-,-,6241124352.0,0.0,-,-,-,-,-,-,-,-,-,-
usmlrs1208,6.0,6.0,2.5 GHz,8370677350.4,Virtual (VM),Intel(R) Xeon(R) CPU E7-8890 v3,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.7 (Tikanga),2.6.18-274.el5,3.1-2,0.295842125,1.21001,0.295842125,1.21001,-,-,8174169458.3523245,8190406164.48,97.6524254376307,97.8463967,5178.799721472,311541.76,65127.74154752,168478.72,8.688188153,13.44,0.31556529,14.12,0.31556529,14.12,-,-,7745368445.75087,8320240844.8,92.529769354541,99.3974621,39053.733796864,49249730.56,97648.18872832,46937321.472,9.300896278,822.104,0.330396654,16.97334,0.330396654,16.97334,-,-,7502579367.602552,8323826974.72,89.6292982461975,99.4403036,37119.92769536,49249730.56,95655.741645824,46937321.472,9.294813656,826.59,false,6.0,-,-,8587208294.4,104857.6,2,-,-,-,-,-,-,-,-,-
usmlrs1854,4.0,4.0,2.4 GHz,16659146342.4,Virtual (VM),Intel(R) Xeon(R) CPU E7- 4870,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server 7.2 (Maipo),3.10.0-327.10.1.el7.x86_64,3.1-2,1.20069395,32.545,1.20069395,32.545,-,-,8225670633.624699,8587397038.08,49.3763033498221,51.5476415,15541.550462976,2612285.44,31301.3186048,74792.96,3.896355872,5.544,1.334483275,40.135,1.334483275,40.135,-,-,13404577671.757692,16483363061.76,80.4637728498253,98.9448242,64132.838821888,51166167.04,71413.68126976,48620163.072,4.642564154,778.062,1.368066232,40.135,1.368066232,40.135,-,-,15564220873.19801,16487955824.64,93.4274815369043,98.9723932,58120.096229376,72427888.64,67209.35304704,60593940.48,4.650108232,955.172,false,4.0,-,-,17175674880.0,0.0,-,-,-,-,-,-,-,-,-,-
usmlrs1835,8.0,8.0,3.2 GHz,33698820915.2,Virtual (VM),Intel(R) Xeon(R) CPU E7-8891 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux AS release 4 (Nahant Update 9),2.6.9-103.ELsmp,3.1-2,0.280513937,0.69,0.280513937,0.69,-,-,33591862874.983105,33627517747.2,99.6826059874565,99.7884105,16502.384390144,2893762.56,63822.280696832,755648.512,8.887114983,34.024,0.233684864,2.765,0.233684864,2.765,-,-,33580952740.30714,33628398551.04,99.6502305672457,99.7910242,68428.731394048,35800084.48,114492.859649024,35351683.072,10.029883871,776.122,0.226303176,15.9825,0.226303176,15.9825,-,-,32834964684.293537,33633914060.8,97.4365387052784,99.8073913,69756.410251264,53868298.24,110985.136978944,51525791.744,9.942773122,964.928,false,8.0,-,-,8587208294.4,209715.2,-,-,-,-,-,-,-,-,-,-
